#SampleID	Dataset	FullName	Acronyme	Bloc	Condition	Sub-bloc	Years
Ac-A-D1-1A-T11-1	1	Ac-A-D1-1A-T11-1	Ac-A-D1-1A-T11-1	B	D1	1A	1
Ac-A-D1-1A-T11-2	2	Ac-A-D1-1A-T11-2	Ac-A-D1-1A-T11-2	B	D1	1A	2
Ac-A-D1-1B-T11-1	3	Ac-A-D1-1B-T11-1	Ac-A-D1-1B-T11-1	B	D1	1B	1
Ac-A-D1-1B-T11-2	4	Ac-A-D1-1B-T11-2	Ac-A-D1-1B-T11-2	B	D1	1B	2
Ac-A-D1-2A-T11-1	5	Ac-A-D1-2A-T11-1	Ac-A-D1-2A-T11-1	B	D1	2A	1
Ac-A-D1-2A-T11-2	6	Ac-A-D1-2A-T11-2	Ac-A-D1-2A-T11-2	B	D1	2A	2
Ac-A-D1-2B-T11-1	7	Ac-A-D1-2B-T11-1	Ac-A-D1-2B-T11-1	B	D1	2B	1
Ac-A-D1-2B-T11-2	8	Ac-A-D1-2B-T11-2	Ac-A-D1-2B-T11-2	B	D1	2B	2
Ac-A-D2-1A-T11-1	9	Ac-A-D2-1A-T11-1	Ac-A-D2-1A-T11-1	B	D2	1A	1
Ac-A-D2-1A-T11-2	10	Ac-A-D2-1A-T11-2	Ac-A-D2-1A-T11-2	B	D2	1A	2
Ac-A-D2-1B-T11-1	11	Ac-A-D2-1B-T11-1	Ac-A-D2-1B-T11-1	B	D2	1B	1
Ac-A-D2-1B-T11-2	12	Ac-A-D2-1B-T11-2	Ac-A-D2-1B-T11-2	B	D2	1B	2
Ac-A-D2-2A-T11-1	13	Ac-A-D2-2A-T11-1	Ac-A-D2-2A-T11-1	B	D2	2A	1
Ac-A-D2-2A-T11-2	14	Ac-A-D2-2A-T11-2	Ac-A-D2-2A-T11-2	B	D2	2A	2
Ac-A-D2-2B-T11-1	15	Ac-A-D2-2B-T11-1	Ac-A-D2-2B-T11-1	B	D2	2B	1
Ac-A-D2-2B-T11-2	16	Ac-A-D2-2B-T11-2	Ac-A-D2-2B-T11-2	B	D2	2B	2
Ac-A-Tneg-1A-T11-1	17	Ac-A-Tneg-1A-T11-1	Ac-A-Tneg-1A-T11-1	C	Tneg	1A	1
Ac-A-Tneg-1A-T11-2	18	Ac-A-Tneg-1A-T11-2	Ac-A-Tneg-1A-T11-2	C	Tneg	1A	2
Ac-A-Tneg-1B-T11-1	19	Ac-A-Tneg-1B-T11-1	Ac-A-Tneg-1B-T11-1	C	Tneg	1B	1
Ac-A-Tneg-1B-T11-2	20	Ac-A-Tneg-1B-T11-2	Ac-A-Tneg-1B-T11-2	C	Tneg	1B	2
Ac-A-Tneg-2A-T11-1	21	Ac-A-Tneg-2A-T11-1	Ac-A-Tneg-2A-T11-1	C	Tneg	2A	1
Ac-A-Tneg-2A-T11-2	22	Ac-A-Tneg-2A-T11-2	Ac-A-Tneg-2A-T11-2	C	Tneg	2A	2
Ac-A-Tneg-2B-T11-1	23	Ac-A-Tneg-2B-T11-1	Ac-A-Tneg-2B-T11-1	C	Tneg	2B	1
Ac-A-Tneg-2B-T11-2	24	Ac-A-Tneg-2B-T11-2	Ac-A-Tneg-2B-T11-2	C	Tneg	2B	2
Ac-A-Tpos-1A-T11-1	25	Ac-A-Tpos-1A-T11-1	Ac-A-Tpos-1A-T11-1	C	Tpos	1A	1
Ac-A-Tpos-1A-T11-2	26	Ac-A-Tpos-1A-T11-2	Ac-A-Tpos-1A-T11-2	C	Tpos	1A	2
Ac-A-Tpos-1B-T11-1	27	Ac-A-Tpos-1B-T11-1	Ac-A-Tpos-1B-T11-1	C	Tpos	1B	1
Ac-A-Tpos-1B-T11-2	28	Ac-A-Tpos-1B-T11-2	Ac-A-Tpos-1B-T11-2	C	Tpos	1B	2
Ac-A-Tpos-2A-T11-1	29	Ac-A-Tpos-2A-T11-1	Ac-A-Tpos-2A-T11-1	C	Tpos	2A	1
Ac-A-Tpos-2A-T11-2	30	Ac-A-Tpos-2A-T11-2	Ac-A-Tpos-2A-T11-2	C	Tpos	2A	2
Ac-A-Tpos-2B-T11-1	31	Ac-A-Tpos-2B-T11-1	Ac-A-Tpos-2B-T11-1	C	Tpos	2B	1
Ac-A-Tpos-2B-T11-2	32	Ac-A-Tpos-2B-T11-2	Ac-A-Tpos-2B-T11-2	C	Tpos	2B	2
Ac-B-D1-1A-T11-1	33	Ac-B-D1-1A-T11-1	Ac-B-D1-1A-T11-1	C	D1	1A	1
Ac-B-D1-1A-T11-2	34	Ac-B-D1-1A-T11-2	Ac-B-D1-1A-T11-2	C	D1	1A	2
Ac-B-D1-1B-T11-1	35	Ac-B-D1-1B-T11-1	Ac-B-D1-1B-T11-1	C	D1	1B	1
Ac-B-D1-1B-T11-2	36	Ac-B-D1-1B-T11-2	Ac-B-D1-1B-T11-2	C	D1	1B	2
Ac-B-D1-2A-T11-1	37	Ac-B-D1-2A-T11-1	Ac-B-D1-2A-T11-1	C	D1	2A	1
Ac-B-D1-2A-T11-2	38	Ac-B-D1-2A-T11-2	Ac-B-D1-2A-T11-2	C	D1	2A	2
Ac-B-D1-2B-T11-1	39	Ac-B-D1-2B-T11-1	Ac-B-D1-2B-T11-1	C	D1	2B	1
Ac-B-D1-2B-T11-2	40	Ac-B-D1-2B-T11-2	Ac-B-D1-2B-T11-2	C	D1	2B	2
Ac-B-D2-1A-T11-1	41	Ac-B-D2-1A-T11-1	Ac-B-D2-1A-T11-1	C	D2	1A	1
Ac-B-D2-1A-T11-2	42	Ac-B-D2-1A-T11-2	Ac-B-D2-1A-T11-2	C	D2	1A	2
