#SampleID	Dataset	FullName	Acronyme	Bloc	Condition	Sub-bloc
Ac-A-D1-1A	1	Ac-A-D1-1A	Ac-A-D1-1A	A	D1	1A
Ac-A-D1-1B	2	Ac-A-D1-1B	Ac-A-D1-1B	A	D1	1B
Ac-A-D1-2A	3	Ac-A-D1-2A	Ac-A-D1-2A	A	D1	2A
Ac-A-D1-2B	4	Ac-A-D1-2B	Ac-A-D1-2B	A	D1	2B
Ac-A-D2-1A	5	Ac-A-D2-1A	Ac-A-D2-1A	A	D2	1A
Ac-A-D2-1B	6	Ac-A-D2-1B	Ac-A-D2-1B	A	D2	1B
Ac-A-D2-2A	7	Ac-A-D2-2A	Ac-A-D2-2A	A	D2	2A
Ac-A-D2-2B	8	Ac-A-D2-2B	Ac-A-D2-2B	A	D2	2B
Ac-A-T-1A	9	Ac-A-T-1A	Ac-A-T-1A	A	T	1A
Ac-A-T-1A	10	Ac-A-T-1A	Ac-A-T-1A	A	T	1A
Ac-A-T-1B	11	Ac-A-T-1B	Ac-A-T-1B	A	T	1B
Ac-A-T-1B	12	Ac-A-T-1B	Ac-A-T-1B	A	T	1B
Ac-A-T-2A	13	Ac-A-T-2A	Ac-A-T-2A	A	T	2A
Ac-A-T-2A	14	Ac-A-T-2A	Ac-A-T-2A	A	T	2A
Ac-A-T-2B	15	Ac-A-T-2B	Ac-A-T-2B	A	T	2B
Ac-A-T-2B	16	Ac-A-T-2B	Ac-A-T-2B	A	T	2B
Ac-B-D1-1A	17	Ac-B-D1-1A	Ac-B-D1-1A	B	D1	1A
Ac-B-D1-1B	18	Ac-B-D1-1B	Ac-B-D1-1B	B	D1	1B
Ac-B-D1-2A	19	Ac-B-D1-2A	Ac-B-D1-2A	B	D1	2A
Ac-B-D1-2B	20	Ac-B-D1-2B	Ac-B-D1-2B	B	D1	2B
Ac-B-D2-1A	21	Ac-B-D2-1A	Ac-B-D2-1A	B	D2	1A
Ac-B-D2-1B	22	Ac-B-D2-1B	Ac-B-D2-1B	B	D2	1B
Ac-B-D2-2A	23	Ac-B-D2-2A	Ac-B-D2-2A	B	D2	2A
Ac-B-D2-2B	24	Ac-B-D2-2B	Ac-B-D2-2B	B	D2	2B
Ac-B-T-1A	25	Ac-B-T-1A	Ac-B-T-1A	B	T	1A
Ac-B-T-1A	26	Ac-B-T-1A	Ac-B-T-1A	B	T	1A
Ac-B-T-1B	27	Ac-B-T-1B	Ac-B-T-1B	B	T	1B
Ac-B-T-1B	28	Ac-B-T-1B	Ac-B-T-1B	B	T	1B
Ac-B-T-2A	29	Ac-B-T-2A	Ac-B-T-2A	B	T	2A
Ac-B-T-2A	30	Ac-B-T-2A	Ac-B-T-2A	B	T	2A
Ac-B-T-2B	31	Ac-B-T-2B	Ac-B-T-2B	B	T	2B
Ac-B-T-2B	32	Ac-B-T-2B	Ac-B-T-2B	B	T	2B
Ac-C-D1-1A	33	Ac-C-D1-1A	Ac-C-D1-1A	C	D1	1A
Ac-C-D1-1B	34	Ac-C-D1-1B	Ac-C-D1-1B	C	D1	1B
Ac-C-D1-2A	35	Ac-C-D1-2A	Ac-C-D1-2A	C	D1	2A
Ac-C-D1-2B	36	Ac-C-D1-2B	Ac-C-D1-2B	C	D1	2B
Ac-C-D2-1A	37	Ac-C-D2-1A	Ac-C-D2-1A	C	D2	1A
Ac-C-D2-1B	38	Ac-C-D2-1B	Ac-C-D2-1B	C	D2	1B
Ac-C-D2-2A	39	Ac-C-D2-2A	Ac-C-D2-2A	C	D2	2A
Ac-C-D2-2B	40	Ac-C-D2-2B	Ac-C-D2-2B	C	D2	2B
Ac-C-T-1A	41	Ac-C-T-1A	Ac-C-T-1A	C	T	1A
Ac-C-T-1A	42	Ac-C-T-1A	Ac-C-T-1A	C	T	1A
Ac-C-T-1B	43	Ac-C-T-1B	Ac-C-T-1B	C	T	1B
Ac-C-T-1B	44	Ac-C-T-1B	Ac-C-T-1B	C	T	1B
Ac-C-T-2A	45	Ac-C-T-2A	Ac-C-T-2A	C	T	2A
Ac-C-T-2A	46	Ac-C-T-2A	Ac-C-T-2A	C	T	2A
Ac-C-T-2B	47	Ac-C-T-2B	Ac-C-T-2B	C	T	2B
Ac-C-T-2B	48	Ac-C-T-2B	Ac-C-T-2B	C	T	2B
